epoch,health/backbone_grad_norm,health/update_weight_ratio,lr,lr-AdamW/pg1,lr-AdamW/pg2,step,train/depth_loss,train/normals_loss,train/segmentation_loss,train/static/weight_0,train/static/weight_1,train/static/weight_2,train/total_loss_epoch,train/total_loss_step,val/depth_abs_rel,val/depth_loss,val/depth_rmse,val/miou,val/normals_loss,val/normals_mean_angle,val/normals_within_11_25,val/segmentation_loss,val/segmentation_miou,val/segmentation_pixel_acc,val/total_loss
,,,,4.4999999999999996e-05,4.4999999999999996e-05,9,,,,,,,,,,,,,,,,,,,
0,,,4.5000000682193786e-05,,,9,,,,,,,,5.836984634399414,,,,,,,,,,,
,,,,9.5e-05,9.5e-05,19,,,,,,,,,,,,,,,,,,,
0,,,9.500000305706635e-05,,,19,,,,,,,,5.531524658203125,,,,,,,,,,,
,,,,0.000145,0.000145,29,,,,,,,,,,,,,,,,,,,
0,,,0.0001449999981559813,,,29,,,,,,,,4.8007941246032715,,,,,,,,,,,
,,,,0.00019500000000000002,0.00019500000000000002,39,,,,,,,,,,,,,,,,,,,
0,,,0.00019500000053085387,,,39,,,,,,,,5.081973075866699,,,,,,,,,,,
,,,,0.000245,0.000245,49,,,,,,,,,,,,,,,,,,,
0,,,0.00024500000290572643,,,49,,,,,,,,4.786762237548828,,,,,,,,,,,
,,,,0.000295,0.000295,59,,,,,,,,,,,,,,,,,,,
0,0.7812955379486084,2.6935022106044926e-05,0.000295000005280599,,,59,,,,,,,,4.016252517700195,,,,,,,,,,,
,,,,0.000345,0.000345,69,,,,,,,,,,,,,,,,,,,
0,0.7812955379486084,2.6935022106044926e-05,0.00034500000765547156,,,69,,,,,,,,3.788339614868164,,,,,,,,,,,
,,,,0.000395,0.000395,79,,,,,,,,,,,,,,,,,,,
0,0.7812955379486084,2.6935022106044926e-05,0.00039500001003034413,,,79,,,,,,,,3.4735593795776367,,,,,,,,,,,
,,,,0.00044500000000000003,0.00044500000000000003,89,,,,,,,,,,,,,,,,,,,
0,0.7812955379486084,2.6935022106044926e-05,0.0004450000124052167,,,89,,,,,,,,3.0888333320617676,,,,,,,,,,,
0,,,,,,98,,,,,,,,,0.3693065643310547,1.0139482021331787,1.4016437530517578,0.06370413303375244,0.34978973865509033,45.61796569824219,0.04149371758103371,2.028318405151367,0.06370413303375244,0.3388464152812958,3.392056941986084
0,,,,,,98,1.4216587543487549,0.5414690971374512,2.426314115524292,1.0,1.0,1.0,4.3894429206848145,,,,,,,,,,,,
,,,,0.000495,0.000495,99,,,,,,,,,,,,,,,,,,,
1,,,0.0004949999856762588,,,99,,,,,,,,3.1092848777770996,,,,,,,,,,,
,,,,0.0004999992813217043,0.0004999992813217043,109,,,,,,,,,,,,,,,,,,,
1,0.7141005396842957,1.3635629329655785e-05,0.0004999992670491338,,,109,,,,,,,,3.2943992614746094,,,,,,,,,,,
,,,,0.0004999967970069857,0.0004999967970069857,119,,,,,,,,,,,,,,,,,,,
1,0.7141005396842957,1.3635629329655785e-05,0.0004999968223273754,,,119,,,,,,,,3.476130962371826,,,,,,,,,,,
,,,,0.0004999925382009375,0.0004999925382009375,129,,,,,,,,,,,,,,,,,,,
1,0.7141005396842957,1.3635629329655785e-05,0.0004999925149604678,,,129,,,,,,,,3.1241095066070557,,,,,,,,,,,
,,,,0.0004999865049338492,0.0004999865049338492,139,,,,,,,,,,,,,,,,,,,
1,0.7141005396842957,1.3635629329655785e-05,0.0004999865195713937,,,139,,,,,,,,2.851142168045044,,,,,,,,,,,
,,,,0.0004999786972486314,0.0004999786972486314,149,,,,,,,,,,,,,,,,,,,
1,0.7141005396842957,1.3635629329655785e-05,0.0004999787197448313,,,149,,,,,,,,3.014044761657715,,,,,,,,,,,
,,,,0.0004999691152008147,0.0004999691152008147,159,,,,,,,,,,,,,,,,,,,
1,0.45790329575538635,8.39961830934044e-06,0.0004999691154807806,,,159,,,,,,,,3.173312187194824,,,,,,,,,,,
,,,,0.0004999577588585488,0.0004999577588585488,169,,,,,,,,,,,,,,,,,,,
1,0.45790329575538635,8.39961830934044e-06,0.0004999577649869025,,,169,,,,,,,,2.8712716102600098,,,,,,,,,,,
,,,,0.0004999446283026036,0.0004999446283026036,179,,,,,,,,,,,,,,,,,,,
1,0.45790329575538635,8.39961830934044e-06,0.000499944610055536,,,179,,,,,,,,3.0602521896362305,,,,,,,,,,,
,,,,0.0004999297236263672,0.0004999297236263672,189,,,,,,,,,,,,,,,,,,,
1,0.45790329575538635,8.39961830934044e-06,0.0004999297088943422,,,189,,,,,,,,3.267246723175049,,,,,,,,,,,
1,,,,,,197,,,,,,,,,0.32509949803352356,0.8901379108428955,1.2513014078140259,0.06454701721668243,0.35300546884536743,46.138614654541016,0.029716121032834053,2.0440261363983154,0.06454701721668243,0.29069986939430237,3.2871687412261963
1,,,,,,197,0.8311548233032227,0.33060505986213684,1.9012707471847534,1.0,1.0,1.0,3.06303071975708,,,,,,,,,,,,
,,,,0.000499913044935846,0.000499913044935846,199,,,,,,,,,,,,,,,,,,,
2,,,0.0004999130615033209,,,199,,,,,,,,2.717195987701416,,,,,,,,,,,
,,,,0.0004998945923496632,0.0004998945923496632,209,,,,,,,,,,,,,,,,,,,
2,1.841059923171997,1.9753118976950645e-05,0.0004998946096748114,,,209,,,,,,,,3.012105941772461,,,,,,,,,,,
,,,,0.0004998743659990592,0.0004998743659990592,219,,,,,,,,,,,,,,,,,,,
2,1.841059923171997,1.9753118976950645e-05,0.0004998743534088135,,,219,,,,,,,,2.8770551681518555,,,,,,,,,,,
,,,,0.0004998523660278889,0.0004998523660278889,229,,,,,,,,,,,,,,,,,,,
2,1.841059923171997,1.9753118976950645e-05,0.0004998523509129882,,,229,,,,,,,,3.009589195251465,,,,,,,,,,,
,,,,0.0004998285925926229,0.0004998285925926229,239,,,,,,,,,,,,,,,,,,,
2,1.841059923171997,1.9753118976950645e-05,0.0004998286021873355,,,239,,,,,,,,2.680677890777588,,,,,,,,,,,
,,,,0.0004998030458623442,0.0004998030458623442,249,,,,,,,,,,,,,,,,,,,
2,1.841059923171997,1.9753118976950645e-05,0.0004998030490241945,,,249,,,,,,,,2.9939494132995605,,,,,,,,,,,
,,,,0.0004997757260187484,0.0004997757260187484,259,,,,,,,,,,,,,,,,,,,
2,0.38532555103302,6.793944976379862e-06,0.0004997757496312261,,,259,,,,,,,,3.0100085735321045,,,,,,,,,,,
,,,,0.0004997466332561419,0.0004997466332561419,269,,,,,,,,,,,,,,,,,,,
2,0.38532555103302,6.793944976379862e-06,0.0004997466458007693,,,269,,,,,,,,2.928739547729492,,,,,,,,,,,
,,,,0.0004997157677814406,0.0004997157677814406,279,,,,,,,,,,,,,,,,,,,
2,0.38532555103302,6.793944976379862e-06,0.0004997157957404852,,,279,,,,,,,,2.7321019172668457,,,,,,,,,,,
,,,,0.0004996831298141684,0.0004996831298141684,289,,,,,,,,,,,,,,,,,,,
2,0.38532555103302,6.793944976379862e-06,0.0004996831412427127,,,289,,,,,,,,2.8724379539489746,,,,,,,,,,,
2,,,,,,296,,,,,,,,,0.32314419746398926,0.9355140328407288,1.3206602334976196,0.07850175350904465,0.3294495940208435,43.44014358520508,0.05781278386712074,1.8194094896316528,0.07850175350904465,0.37867480516433716,3.0843734741210938
2,,,,,,296,0.8144202828407288,0.3218735158443451,1.8145966529846191,1.0,1.0,1.0,2.9508910179138184,,,,,,,,,,,,
,,,,0.0004996487195864558,0.0004996487195864558,299,,,,,,,,,,,,,,,,,,,
3,,,0.0004996487405151129,,,299,,,,,,,,3.3411288261413574,,,,,,,,,,,
,,,,0.000499612537343038,0.000499612537343038,309,,,,,,,,,,,,,,,,,,,
3,0.5131678581237793,8.053209057834465e-06,0.0004996125353500247,,,309,,,,,,,,2.9974889755249023,,,,,,,,,,,
,,,,0.0004995745833412531,0.0004995745833412531,319,,,,,,,,,,,,,,,,,,,
3,0.5131678581237793,8.053209057834465e-06,0.0004995745839551091,,,319,,,,,,,,3.259018898010254,,,,,,,,,,,
,,,,0.0004995348578510409,0.0004995348578510409,329,,,,,,,,,,,,,,,,,,,
3,0.5131678581237793,8.053209057834465e-06,0.0004995348863303661,,,329,,,,,,,,2.995339870452881,,,,,,,,,,,
