variant,normalization,linear_coef,seed,seg_loss,depth_loss,normals_loss,score
raw_c0.35,raw,0.35,0,2.919576406478882,0.24099810421466827,0.010011509992182255,1.380319356918335
raw_c0.35,raw,0.35,1,2.9025118350982666,0.23464620113372803,0.010371710173785686,1.3709661960601807
raw_c0.35,raw,0.35,2,2.9017720222473145,0.23797309398651123,0.01013373862951994,1.3715112209320068
raw_c0.35,raw,0.35,3,2.880920886993408,0.23808081448078156,0.010232518427073956,1.3622162342071533
raw_c0.35,raw,0.35,4,2.9254798889160156,0.23722493648529053,0.010106023401021957,1.3819255828857422
raw_c0.35,raw,0.35,5,2.85233473777771,0.2396366000175476,0.010376598685979843,1.3498741388320923
raw_c0.35,raw,0.35,6,2.903273344039917,0.23442064225673676,0.01039047446101904,1.3712489604949951
raw_c0.5,raw,0.5,0,2.9195523262023926,0.2410242110490799,0.010011522099375725,1.3803160190582275
raw_c0.5,raw,0.5,1,2.903233766555786,0.23468615114688873,0.010364577174186707,1.3712992668151855
raw_c0.5,raw,0.5,2,2.902195930480957,0.23796600103378296,0.010132426396012306,1.3716988563537598
raw_c0.5,raw,0.5,3,2.8819689750671387,0.2382308542728424,0.010218724608421326,1.362725019454956
raw_c0.5,raw,0.5,4,2.926130771636963,0.23747986555099487,0.01009167730808258,1.382285714149475
raw_c0.5,raw,0.5,5,2.853158473968506,0.23972614109516144,0.010366357862949371,1.3502662181854248
raw_c0.5,raw,0.5,6,2.9067602157592773,0.23462076485157013,0.010355662554502487,1.3728601932525635
raw_c0.65,raw,0.65,0,2.9193925857543945,0.24099993705749512,0.010011786594986916,1.3802375793457031
raw_c0.65,raw,0.65,1,2.9042677879333496,0.23476652801036835,0.010352320037782192,1.3717825412750244
raw_c0.65,raw,0.65,2,2.903101921081543,0.23800918459892273,0.010126891545951366,1.372115969657898
raw_c0.65,raw,0.65,3,2.882995367050171,0.23833869397640228,0.01020754687488079,1.3632128238677979
raw_c0.65,raw,0.65,4,2.925844669342041,0.23752328753471375,0.01008994784206152,1.3821691274642944
raw_c0.65,raw,0.65,5,2.854001522064209,0.2397710680961609,0.010357636958360672,1.3506546020507812
raw_c0.65,raw,0.65,6,2.90745210647583,0.2347823530435562,0.010337465442717075,1.3732112646102905
mean_c0.35,mean,0.35,0,2.9004931449890137,0.24038922786712646,0.01006405521184206,1.3716022968292236
mean_c0.35,mean,0.35,1,2.8888511657714844,0.23375487327575684,0.010539419949054718,1.3646321296691895
mean_c0.35,mean,0.35,2,2.909095287322998,0.237937331199646,0.010109450668096542,1.3747791051864624
mean_c0.35,mean,0.35,3,2.857164144515991,0.23912407457828522,0.010355164296925068,1.3518893718719482
mean_c0.35,mean,0.35,4,2.9246997833251953,0.23971794545650482,0.01001693308353424,1.3822567462921143
mean_c0.35,mean,0.35,5,2.846505880355835,0.2385704070329666,0.01047683134675026,1.346985101699829
mean_c0.35,mean,0.35,6,2.908978223800659,0.2383888065814972,0.01009001862257719,1.3748490810394287
mean_c0.5,mean,0.5,0,2.9051108360290527,0.24046747386455536,0.010047826915979385,1.373691201210022
mean_c0.5,mean,0.5,1,2.8858482837677,0.23383089900016785,0.010550023056566715,1.363309621810913
mean_c0.5,mean,0.5,2,2.9122214317321777,0.23791417479515076,0.010101104155182838,1.376172423362732
mean_c0.5,mean,0.5,3,2.860363721847534,0.23907314240932465,0.010331145487725735,1.3533034324645996
mean_c0.5,mean,0.5,4,2.923734664916992,0.23932182788848877,0.01002663653343916,1.3817143440246582
mean_c0.5,mean,0.5,5,2.846128463745117,0.23869311809539795,0.0104741295799613,1.3468499183654785
mean_c0.5,mean,0.5,6,2.910109758377075,0.2382175326347351,0.010093705728650093,1.3753091096878052
mean_c0.65,mean,0.65,0,2.9066622257232666,0.24058404564857483,0.01004199218004942,1.3744183778762817
mean_c0.65,mean,0.65,1,2.8856680393218994,0.23391473293304443,0.01054176315665245,1.3632502555847168
mean_c0.65,mean,0.65,2,2.9134669303894043,0.23795726895332336,0.010095628909766674,1.3767417669296265
mean_c0.65,mean,0.65,3,2.8611748218536377,0.23906780779361725,0.01032490935176611,1.3536640405654907
mean_c0.65,mean,0.65,4,2.9232096672058105,0.23922213912010193,0.010029884986579418,1.3814514875411987
mean_c0.65,mean,0.65,5,2.846727132797241,0.23877689242362976,0.010464203543961048,1.3471393585205078
mean_c0.65,mean,0.65,6,2.9098494052886963,0.23807506263256073,0.010100753977894783,1.3751540184020996
max_c0.35,max,0.35,0,2.8901069164276123,0.2416577786207199,0.010097825899720192,1.367311954498291
max_c0.35,max,0.35,1,2.8834118843078613,0.2333938181400299,0.010617461055517197,1.3621114492416382
max_c0.35,max,0.35,2,2.908165454864502,0.23874357342720032,0.010079015977680683,1.3745818138122559
max_c0.35,max,0.35,3,2.852954864501953,0.2389260232448578,0.010399926453828812,1.3499572277069092
max_c0.35,max,0.35,4,2.9248175621032715,0.2400401383638382,0.010011623613536358,1.3823992013931274
max_c0.35,max,0.35,5,2.8408710956573486,0.23960018157958984,0.010484977625310421,1.3447514772415161
max_c0.35,max,0.35,6,2.908346176147461,0.2385561466217041,0.010085382498800755,1.3746116161346436
max_c0.5,max,0.5,0,2.8902132511138916,0.24180454015731812,0.010097859427332878,1.3674012422561646
max_c0.5,max,0.5,1,2.8850061893463135,0.23363682627677917,0.01057785376906395,1.362884521484375
max_c0.5,max,0.5,2,2.9088478088378906,0.2386208325624466,0.010081388056278229,1.3748537302017212
max_c0.5,max,0.5,3,2.853342294692993,0.23886413872241974,0.01039935927838087,1.3501135110855103
max_c0.5,max,0.5,4,2.923116683959961,0.23969389498233795,0.010019470006227493,1.3815405368804932
max_c0.5,max,0.5,5,2.8411099910736084,0.23964077234268188,0.010481039993464947,1.3448691368103027
max_c0.5,max,0.5,6,2.9065656661987305,0.2381836324930191,0.010106517001986504,1.373713493347168
max_c0.65,max,0.65,0,2.8902831077575684,0.241963192820549,0.010098440572619438,1.3674776554107666
max_c0.65,max,0.65,1,2.886451244354248,0.23384854197502136,0.010544097051024437,1.3635834455490112
max_c0.65,max,0.65,2,2.9090616703033447,0.23849107325077057,0.01008568610996008,1.374914288520813
max_c0.65,max,0.65,3,2.8531737327575684,0.238801047205925,0.010403805412352085,1.350021243095398
max_c0.65,max,0.65,4,2.9216015338897705,0.2394145131111145,0.010027654469013214,1.3807841539382935
max_c0.65,max,0.65,5,2.841114044189453,0.2396642416715622,0.010480111464858055,1.3448772430419922
max_c0.65,max,0.65,6,2.9050798416137695,0.23782430589199066,0.010128546506166458,1.3729512691497803
geo_c0.35,geo,0.35,0,2.9009649753570557,0.2404095083475113,0.010062124580144882,1.371819257736206
geo_c0.35,geo,0.35,1,2.9007327556610107,0.23338207602500916,0.010515127331018448,1.369849443435669
geo_c0.35,geo,0.35,2,2.888258457183838,0.2386447787284851,0.010165167972445488,1.365648627281189
geo_c0.35,geo,0.35,3,2.8468189239501953,0.23661980032920837,0.010604048147797585,1.3466076850891113
geo_c0.35,geo,0.35,4,2.9226624965667725,0.23956184089183807,0.010022761300206184,1.3813003301620483
geo_c0.35,geo,0.35,5,2.887526273727417,0.23441344499588013,0.01047605462372303,1.3642070293426514
geo_c0.35,geo,0.35,6,2.9315638542175293,0.23607109487056732,0.010168686509132385,1.3843449354171753
geo_c0.5,geo,0.5,0,2.898949384689331,0.2393697053194046,0.010091274045407772,1.3706287145614624
geo_c0.5,geo,0.5,1,2.9057810306549072,0.2332519292831421,0.010506082326173782,1.3720743656158447
geo_c0.5,geo,0.5,2,2.889570474624634,0.23769362270832062,0.010204090736806393,1.365978479385376
geo_c0.5,geo,0.5,3,2.845160722732544,0.23674854636192322,0.010610539466142654,1.3459020853042603
geo_c0.5,geo,0.5,4,2.9270451068878174,0.24057307839393616,0.010004205629229546,1.383547067642212
geo_c0.5,geo,0.5,5,2.8825151920318604,0.23493190109729767,0.010456115938723087,1.3621007204055786
geo_c0.5,geo,0.5,6,2.9314305782318115,0.23696264624595642,0.010112429969012737,1.3845220804214478
geo_c0.65,geo,0.65,0,2.8985939025878906,0.23887771368026733,0.010108493268489838,1.3703348636627197
geo_c0.65,geo,0.65,1,2.907369613647461,0.23363031446933746,0.010455871000885963,1.372880458831787
geo_c0.65,geo,0.65,2,2.8901591300964355,0.23743213713169098,0.01021584216505289,1.3661717176437378
geo_c0.65,geo,0.65,3,2.8451669216156006,0.2368592470884323,0.010601737536489964,1.3459339141845703
geo_c0.65,geo,0.65,4,2.928086280822754,0.24093462526798248,0.010002306662499905,1.3841156959533691
geo_c0.65,geo,0.65,5,2.8867626190185547,0.23542268574237823,0.010383346118032932,1.3641250133514404
geo_c0.65,geo,0.65,6,2.9320192337036133,0.23694853484630585,0.010112607851624489,1.3847821950912476
